iteration,K
100639,6
100640,6
100641,6
100642,6
100643,5
100644,5
100645,6
100646,6
100647,5
100648,7
100649,5
100650,5
100651,5
100652,5
100653,8
100654,6
100655,6
100656,6
100657,5
100658,5
100659,6
100660,8
100661,7
100662,8
100663,8
100664,8
100665,8
100666,8
100667,8
100668,7
100669,7
100670,7
100671,8
100672,7
100673,6
100674,6
100675,7
100676,6
100677,7
100678,7
100679,6
100680,8
100681,7
100682,6
100683,6
100684,7
100685,7
100686,6
100687,10
100688,7
100689,9
100690,8
100691,6
100692,7
100693,6
100694,7
100695,7
100696,7
100697,6
100698,8
100699,6
100700,9
100701,7
100702,8
100703,8
100704,9
100705,13
100706,7
100707,7
100708,7
100709,7
100710,8
100711,8
100712,8
100713,7
100714,8
100715,7
100716,7
100717,7
100718,8
100719,8
100720,8
100721,7
100722,7
100723,7
100724,8
100725,7
100726,8
100727,7
100728,7
100729,7
100730,7
100731,6
100732,5
100733,5
100734,5
100735,6
100736,4
100737,4
100738,5
100739,5
100740,5
100741,5
100742,5
100743,5
100744,6
100745,6
100746,5
100747,5
100748,5
100749,5
100750,5
100751,5
100752,6
100753,6
100754,6
100755,7
100756,8
100757,6
100758,6
100759,5
100760,5
100761,4
100762,4
100763,4
100764,4
100765,4
100766,4
100767,4
100768,4
100769,4
100770,4
100771,4
100772,4
100773,4
100774,4
100775,4
100776,5
100777,4
100778,4
100779,4
100780,5
100781,5
100782,5
100783,6
100784,5
100785,4
100786,4
100787,4
100788,4
100789,4
100790,3
100791,3
100792,3
100793,4
100794,3
100795,3
100796,3
100797,3
100798,3
100799,5
100800,4
100801,4
100802,5
100803,5
100804,5
100805,6
100806,6
100807,6
100808,7
100809,6
100810,6
100811,6
100812,5
100813,5
100814,5
100815,5
100816,5
100817,6
100818,5
100819,6
100820,5
100821,6
100822,6
100823,6
100824,6
100825,7
100826,6
100827,5
100828,7
100829,5
100830,6
100831,6
100832,7
100833,9
100834,9
100835,12
100836,9
100837,8
100838,8
100839,8
100840,7
100841,10
100842,7
100843,7
100844,6
100845,6
100846,7
100847,7
100848,6
100849,7
100850,6
100851,7
100852,7
100853,6
100854,5
100855,5
100856,5
100857,5
100858,7
100859,5
100860,4
100861,4
100862,4
100863,4
100864,4
100865,4
100866,4
100867,5
100868,5
100869,6
100870,6
100871,8
100872,9
100873,8
100874,7
100875,10
100876,9
100877,7
100878,6
100879,6
100880,6
100881,5
100882,5
100883,5
100884,5
100885,5
100886,5
100887,5
100888,5
100889,5
100890,5
100891,5
100892,6
100893,6
100894,6
100895,5
100896,5
100897,6
100898,4
100899,4
100900,4
100901,4
100902,4
100903,4
100904,5
100905,4
100906,5
100907,6
100908,5
100909,5
100910,5
100911,5
100912,5
100913,5
100914,5
100915,7
100916,6
100917,6
100918,7
100919,6
100920,7
100921,7
100922,6
100923,8
100924,6
100925,9
100926,6
100927,7
100928,8
100929,7
100930,7
100931,8
100932,8
100933,7
100934,8
100935,8
100936,10
100937,9
100938,7
100939,7
100940,9
100941,8
100942,7
100943,10
100944,7
100945,7
100946,7
100947,7
100948,8
100949,6
100950,6
100951,5
100952,5
100953,5
100954,6
