k,prob
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0.001190062554
12,0.0221976832
13,0.03171573312
14,0.04975282923
15,0.1072505876
16,0.143798665
17,0.1447781588
18,0.109351756
19,0.0963919554
20,0.08475485234
21,0.05505887184
22,0.04124843106
23,0.03542154637
24,0.02688202432
25,0.02071356123
26,0.01253770834
27,0.007665739884
28,0.005420169356
29,0.002712234566
30,0.001157429823
