k,prob
1,0
2,0
3,0.09781977781
4,0.1887646229
5,0.1823136972
6,0.159095889
7,0.1288474028
8,0.09251333786
9,0.06009861208
10,0.03716085094
11,0.02234418803
12,0.01318345132
13,0.007662640015
14,0.004386747074
15,0.002491981169
16,0.001422400198
17,0.000819221814
18,0.0004723044292
19,0.0002697646816
20,0.000151800963
21,8.407459345e-05
22,4.586592671e-05
23,2.466088308e-05
24,1.306767076e-05
25,6.821730537e-06
26,3.507373246e-06
27,1.776262579e-06
28,8.865535757e-07
29,4.364853475e-07
30,2.122294228e-07
