k,prob
1,0.0004655
2,0.0003056219512
3,0.2211784042
4,0.2359470252
5,0.1825256703
6,0.125663688
7,0.08290672827
8,0.05353852901
9,0.03422919401
10,0.02186854216
11,0.01405227735
12,0.009110789911
13,0.005964526727
14,0.003941015857
15,0.002626186697
16,0.00176399469
17,0.001194199046
18,0.000815082427
19,0.0005612313718
20,0.0003901447293
21,0.0002740057998
22,0.0001945193558
23,0.0001396113425
24,0.0001012902471
25,7.424950946e-05
26,5.495045758e-05
27,4.101986747e-05
28,3.085436961e-05
29,2.336087862e-05
30,1.778630552e-05
